docket_id,judge_name,lawyer_gender,judge_gender,Segal/Cover,num_male_lawyer,num_female_lawyer,num_male_ratio_lawyer,num_female_ratio_lawyer,num_male_neutral_lawyer,num_female_neutral_lawyer,num_male_judge,num_female_judge,num_male_ratio_judge,num_female_ratio_judge,ratio_male_neutral_judge,num_male_neutral_judge,ratio_female_neutral_judge,num_female_neutral_judge,judge_interrupt_male,judge_interrupt_female,judge_interrupt_male_judge,judge_interrupt_female_judge,judge_interrupt_male_lawyer,judge_interrupt_female_lawyer,judge_interrupt_male_n,judge_interrupt_female_n,judge_interrupt_male_judge_n,judge_interrupt_female_judge_n,judge_interrupt_male_lawyer_n,judge_interrupt_female_lawyer_n,judge_interrupted_male,judge_interrupted_female,judge_interrupted_male_judge,judge_interrupted_female_judge,judge_interrupted_male_lawyer,judge_interrupted_female_lawyer,judge_interrupted_male_n,judge_interrupted_female_n,judge_interrupted_male_judge_n,judge_interrupted_female_judge_n,judge_interrupted_male_lawyer_n,judge_interrupted_female_lawyer_n,decision_general,decision
1998_96_1570,David H. Souter,0,0,0.325,0,0,0,0,0,0,0.333333333333,0.0,0.416520448104,0.0,0.285591519771,0.412621359223,0.411873510405,0.422764227642,523,103,22,0,501,103,0.326633165829,0.504901960784,0.177419354839,0.0,0.340584636302,0.504901960784,78,26,21,6,57,20,0.188295165394,0.433333333333,0.216494845361,0.4,0.165217391304,0.37037037037,1,0
1998_96_1570,David H. Souter,0,0,0.325,0,0,0,0,0,0,0.333333333333,0.0,0.416520448104,0.0,0.285591519771,0.412621359223,0.411873510405,0.422764227642,523,103,22,0,501,103,0.326633165829,0.504901960784,0.177419354839,0.0,0.340584636302,0.504901960784,78,26,21,6,57,20,0.188295165394,0.433333333333,0.216494845361,0.4,0.165217391304,0.37037037037,1,1
1998_96_1570,David H. Souter,,0,0.325,0,0,0,0,0,0,0.333333333333,0.0,0.416520448104,0.0,0.285591519771,0.412621359223,0.411873510405,0.422764227642,523,103,22,0,501,103,0.326633165829,0.504901960784,0.177419354839,0.0,0.340584636302,0.504901960784,78,26,21,6,57,20,0.188295165394,0.433333333333,0.216494845361,0.4,0.165217391304,0.37037037037,1
1998_96_1570,Antonin Scalia,0,0,0.0,0,0,0,0,0,0,1.0,0.222222222222,0.564368808739,0.12864391951,0.426720174333,0.936893203883,0.333150628276,0.934959349593,1595,204,124,0,1471,204,1.0,1.0,1.0,0.0,1.0,1.0,397,60,52,6,345,54,1.0,1.0,0.536082474227,0.4,1.0,1.0,1,0
1998_96_1570,Antonin Scalia,0,0,0.0,0,0,0,0,0,0,1.0,0.222222222222,0.564368808739,0.12864391951,0.426720174333,0.936893203883,0.333150628276,0.934959349593,1595,204,124,0,1471,204,1.0,1.0,1.0,0.0,1.0,1.0,397,60,52,6,345,54,1.0,1.0,0.536082474227,0.4,1.0,1.0,1,1
1998_96_1570,Antonin Scalia,,0,0.0,0,0,0,0,0,0,1.0,0.222222222222,0.564368808739,0.12864391951,0.426720174333,0.936893203883,0.333150628276,0.934959349593,1595,204,124,0,1471,204,1.0,1.0,1.0,0.0,1.0,1.0,397,60,52,6,345,54,1.0,1.0,0.536082474227,0.4,1.0,1.0,1
1998_96_1570,John Paul Stevens,0,0,0.25,0,0,0,0,0,0,0.611111111111,0.444444444444,0.955525530598,0.712817529571,1.0,0.31067961165,1.0,0.373983739837,718,24,48,0,670,24,0.449120603015,0.117647058824,0.387096774194,0.0,0.455472467709,0.117647058824,277,5,57,0,220,5,0.69465648855,0.0833333333333,0.587628865979,0.0,0.63768115942,0.0925925925926,1,0
1998_96_1570,John Paul Stevens,0,0,0.25,0,0,0,0,0,0,0.611111111111,0.444444444444,0.955525530598,0.712817529571,1.0,0.31067961165,1.0,0.373983739837,718,24,48,0,670,24,0.449120603015,0.117647058824,0.387096774194,0.0,0.455472467709,0.117647058824,277,5,57,0,220,5,0.69465648855,0.0833333333333,0.587628865979,0.0,0.63768115942,0.0925925925926,1,1
1998_96_1570,John Paul Stevens,,0,0.25,0,0,0,0,0,0,0.611111111111,0.444444444444,0.955525530598,0.712817529571,1.0,0.31067961165,1.0,0.373983739837,718,24,48,0,670,24,0.449120603015,0.117647058824,0.387096774194,0.0,0.455472467709,0.117647058824,277,5,57,0,220,5,0.69465648855,0.0833333333333,0.587628865979,0.0,0.63768115942,0.0925925925926,1
1998_96_1570,Anthony M. Kennedy,0,0,0.365,0,0,0,0,0,0,0.444444444444,0.222222222222,0.669232854434,0.343230625584,0.377063960071,0.332524271845,0.627976059826,0.369918699187,687,81,87,0,600,81,0.429648241206,0.397058823529,0.701612903226,0.0,0.407885791978,0.397058823529,158,26,55,4,103,22,0.391857506361,0.433333333333,0.567010309278,0.266666666667,0.298550724638,0.407407407407,1,0
1998_96_1570,Anthony M. Kennedy,0,0,0.365,0,0,0,0,0,0,0.444444444444,0.222222222222,0.669232854434,0.343230625584,0.377063960071,0.332524271845,0.627976059826,0.369918699187,687,81,87,0,600,81,0.429648241206,0.397058823529,0.701612903226,0.0,0.407885791978,0.397058823529,158,26,55,4,103,22,0.391857506361,0.433333333333,0.567010309278,0.266666666667,0.298550724638,0.407407407407,1,1
1998_96_1570,Anthony M. Kennedy,,0,0.365,0,0,0,0,0,0,0.444444444444,0.222222222222,0.669232854434,0.343230625584,0.377063960071,0.332524271845,0.627976059826,0.369918699187,687,81,87,0,600,81,0.429648241206,0.397058823529,0.701612903226,0.0,0.407885791978,0.397058823529,158,26,55,4,103,22,0.391857506361,0.433333333333,0.567010309278,0.266666666667,0.298550724638,0.407407407407,1
1998_96_1570,Ruth Bader Ginsburg,0,1,0.68,0,0,0,0,0,0,0.222222222222,1.0,0.216645020885,1.0,0.30280293196,0.492718446602,0.503743240576,0.556910569106,546,163,41,0,505,163,0.34108040201,0.799019607843,0.33064516129,0.0,0.343303874915,0.799019607843,207,37,97,0,110,37,0.516539440204,0.616666666667,1.0,0.0,0.31884057971,0.685185185185,1,0
1998_96_1570,Ruth Bader Ginsburg,0,1,0.68,0,0,0,0,0,0,0.222222222222,1.0,0.216645020885,1.0,0.30280293196,0.492718446602,0.503743240576,0.556910569106,546,163,41,0,505,163,0.34108040201,0.799019607843,0.33064516129,0.0,0.343303874915,0.799019607843,207,37,97,0,110,37,0.516539440204,0.616666666667,1.0,0.0,0.31884057971,0.685185185185,1,1
1998_96_1570,Ruth Bader Ginsburg,,1,0.68,0,0,0,0,0,0,0.222222222222,1.0,0.216645020885,1.0,0.30280293196,0.492718446602,0.503743240576,0.556910569106,546,163,41,0,505,163,0.34108040201,0.799019607843,0.33064516129,0.0,0.343303874915,0.799019607843,207,37,97,0,110,37,0.516539440204,0.616666666667,1.0,0.0,0.31884057971,0.685185185185,1
1998_96_1570,Stephen G. Breyer,0,0,0.475,0,0,0,0,0,0,0.416666666667,0.555555555556,0.224612786771,0.307193475063,0.2585412655,1.0,0.411431392177,1.0,677,75,22,0,655,75,0.423366834171,0.367647058824,0.177419354839,0.0,0.44527532291,0.367647058824,274,38,62,10,212,28,0.687022900763,0.633333333333,0.639175257732,0.666666666667,0.614492753623,0.518518518519,1,0
1998_96_1570,Stephen G. Breyer,0,0,0.475,0,0,0,0,0,0,0.416666666667,0.555555555556,0.224612786771,0.307193475063,0.2585412655,1.0,0.411431392177,1.0,677,75,22,0,655,75,0.423366834171,0.367647058824,0.177419354839,0.0,0.44527532291,0.367647058824,274,38,62,10,212,28,0.687022900763,0.633333333333,0.639175257732,0.666666666667,0.614492753623,0.518518518519,1,1
