docket_id,interrupt_gender,interrupt_identity,interrupt,interrupted_gender,interrupted_identity,interrupted,num
2003_02_10038,1,judge,Ruth Bader Ginsburg,0,lawyer,Robert C. Owen,2
2003_02_10038,1,judge,Ruth Bader Ginsburg,0,lawyer,Edward L. Marshall,2
2003_02_10038,0,judge,Anthony M. Kennedy,0,lawyer,Edward L. Marshall,2
2003_02_10038,0,judge,Stephen G. Breyer,0,lawyer,Edward L. Marshall,3
2003_02_10038,0,lawyer,Edward L. Marshall,0,judge,Ruth Bader Ginsburg,1
2003_02_10038,0,lawyer,Edward L. Marshall,0,judge,David H. Souter,2
2003_02_10038,0,lawyer,Robert C. Owen,0,judge,Ruth Bader Ginsburg,1
2003_02_10038,0,lawyer,Robert C. Owen,0,judge,Antonin Scalia,1
2003_02_10038,0,judge,David H. Souter,0,lawyer,Robert C. Owen,1
2003_02_10038,0,judge,David H. Souter,0,lawyer,Edward L. Marshall,11
2003_02_10038,0,judge,William H. Rehnquist,0,lawyer,Robert C. Owen,4
2003_02_10038,0,judge,Antonin Scalia,0,lawyer,Robert C. Owen,10
2003_02_10038,0,judge,Antonin Scalia,0,lawyer,Edward L. Marshall,4
2003_02_10038,0,judge,Antonin Scalia,0,judge,Stephen G. Breyer,1
2003_02_10038,-1,,,0,lawyer,Robert C. Owen,1
2003_02_10038,-1,,,0,lawyer,Edward L. Marshall,1
2003_02_1016,1,judge,Ruth Bader Ginsburg,1,lawyer,Rebecca J. Harper,3
2003_02_1016,1,judge,Ruth Bader Ginsburg,0,lawyer,David B. Salmons,1
2003_02_1016,1,judge,Ruth Bader Ginsburg,0,lawyer,"G. Eric Brunstad, Jr.",1
2003_02_1016,0,judge,Anthony M. Kennedy,1,lawyer,Rebecca J. Harper,2
2003_02_1016,0,judge,Anthony M. Kennedy,0,lawyer,"G. Eric Brunstad, Jr.",5
2003_02_1016,0,judge,Anthony M. Kennedy,0,judge,John Paul Stevens,1
2003_02_1016,0,lawyer,David B. Salmons,0,judge,Ruth Bader Ginsburg,1
2003_02_1016,0,lawyer,David B. Salmons,0,judge,David H. Souter,1
2003_02_1016,0,lawyer,David B. Salmons,-1,,,1
2003_02_1016,0,judge,Stephen G. Breyer,0,lawyer,David B. Salmons,3
2003_02_1016,0,judge,Stephen G. Breyer,0,lawyer,"G. Eric Brunstad, Jr.",7
2003_02_1016,0,judge,John Paul Stevens,0,judge,David H. Souter,1
2003_02_1016,0,judge,William H. Rehnquist,1,lawyer,Rebecca J. Harper,1
2003_02_1016,0,judge,William H. Rehnquist,0,lawyer,David B. Salmons,2
