,year,speaker_name,by_male,by_female,by_male_judge,by_female_judge,by_male_lawyer,by_female_lawyer,by_male_n,by_female_n,by_male_judge_n,by_female_judge_n,by_male_lawyer_n,by_female_lawyer_n
0,1998,Ruth Bader Ginsburg,207,37,97,0,110,37,0.516539440204,0.616666666667,1.0,0.0,0.31884057971,0.685185185185
1,1998,John Paul Stevens,277,5,57,0,220,5,0.69465648855,0.0833333333333,0.587628865979,0.0,0.63768115942,0.0925925925926
2,1998,Stephen G. Breyer,274,38,62,10,212,28,0.687022900763,0.633333333333,0.639175257732,0.666666666667,0.614492753623,0.518518518519
3,1998,Antonin Scalia,397,60,52,6,345,54,1.0,1.0,0.536082474227,0.4,1.0,1.0
4,1998,David H. Souter,78,26,21,6,57,20,0.188295165394,0.433333333333,0.216494845361,0.4,0.165217391304,0.37037037037
5,1998,Anthony M. Kennedy,158,26,55,4,103,22,0.391857506361,0.433333333333,0.567010309278,0.266666666667,0.298550724638,0.407407407407
6,1998,William H. Rehnquist,115,5,9,0,106,5,0.282442748092,0.0833333333333,0.0927835051546,0.0,0.307246376812,0.0925925925926
7,1998,Clarence Thomas,4,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0115942028986,0.0
8,1998,"John G. Roberts, Jr.",33,15,33,15,0,0,0.0737913486005,0.25,0.340206185567,1.0,0.0,0.0
9,1999,Stephen G. Breyer,68,6,15,2,53,4,0.645569620253,0.315789473684,0.4375,0.4,0.736111111111,0.235294117647
10,1999,William H. Rehnquist,42,8,12,1,30,7,0.316455696203,0.421052631579,0.25,0.2,0.416666666667,0.411764705882
11,1999,Antonin Scalia,96,19,24,2,72,17,1.0,1.0,1.0,0.4,1.0,1.0
12,1999,Ruth Bader Ginsburg,46,5,12,0,34,5,0.367088607595,0.263157894737,0.25,0.0,0.472222222222,0.294117647059
13,1999,Anthony M. Kennedy,39,7,12,1,27,6,0.278481012658,0.368421052632,0.25,0.2,0.375,0.352941176471
14,1999,John Paul Stevens,38,1,8,0,30,1,0.26582278481,0.0526315789474,0.0,0.0,0.416666666667,0.0588235294118
15,1999,David H. Souter,39,12,17,5,22,7,0.278481012658,0.631578947368,0.5625,1.0,0.305555555556,0.411764705882
16,1999,"John G. Roberts, Jr.",17,0,17,0,0,0,0.0,0.0,0.5625,0.0,0.0,0.0
17,2003,Ruth Bader Ginsburg,45,4,14,0,31,4,0.222222222222,0.230769230769,0.6,0.0,0.150684931507,0.333333333333
18,2003,David H. Souter,31,5,11,1,20,4,0.0493827160494,0.307692307692,0.4,0.5,0.0,0.333333333333
19,2003,Antonin Scalia,108,14,15,2,93,12,1.0,1.0,0.666666666667,1.0,1.0,1.0
20,2003,Stephen G. Breyer,78,4,20,0,58,4,0.62962962963,0.230769230769,1.0,0.0,0.520547945205,0.333333333333
21,2003,John Paul Stevens,36,1,11,1,25,0,0.111111111111,0.0,0.4,0.5,0.0684931506849,0.0
22,2003,William H. Rehnquist,27,5,5,1,22,4,0.0,0.307692307692,0.0,0.5,0.027397260274,0.333333333333
