speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
David H. Souter,1998,12,0,104,170,1422,0.079913035,0.035484314
Antonin Scalia,1998,36,2,230,386,3137,0.11940307,0.028702068
John Paul Stevens,1998,22,4,92,128,1120,0.279815854,0.086153426
Anthony M. Kennedy,1998,16,2,91,137,1172,0.105508474,0.054102289
Ruth Bader Ginsburg,1998,8,9,137,203,1821,0.084729061,0.043399206
Stephen G. Breyer,1998,15,5,246,412,3304,0.072343945,0.035446224
William H. Rehnquist,1998,31,0,120,186,1512,0.076177371,0.030951385
Sandra Day O'Connor,1998,8,5,178,287,2294,0.078797994,0.04099655
Clarence Thomas,1998,0,0,0,0,0,0,0
David H. Souter,1999,39,11,565,840,6964,0.026901706,0.011486143
Antonin Scalia,1999,26,13,621,950,7394,0.025212619,0.010686912
John Paul Stevens,1999,22,3,300,488,4008,0.025622942,0.010453078
Anthony M. Kennedy,1999,63,5,446,721,5862,0.021020796,0.010139987
Ruth Bader Ginsburg,1999,33,4,314,439,3618,0.021435218,0.012056623
Stephen G. Breyer,1999,65,5,572,938,7258,0.025161829,0.016403497
William H. Rehnquist,1999,32,1,304,470,4141,0.02372121,0.019457691
Sandra Day O'Connor,1999,35,4,390,555,4549,0.022302062,0.011730925
Clarence Thomas,1999,0,0,0,0,0,0,0
David H. Souter,2003,31,4,93,155,1238,0.073155012,0.045922268
Antonin Scalia,2003,56,7,250,440,3364,0.070869338,0.027361729
John Paul Stevens,2003,14,1,76,123,973,0.100615342,0.048023007
Anthony M. Kennedy,2003,50,6,167,281,2128,0.107765913,0.041047718
Ruth Bader Ginsburg,2003,27,1,128,241,1832,0.073090237,0.037349309
Stephen G. Breyer,2003,69,2,261,410,3368,0.086231618,0.035574881
William H. Rehnquist,2003,21,0,52,103,766,0.104647685,0.049491853
Sandra Day O'Connor,2003,17,4,114,197,1615,0.078969363,0.034160849
Clarence Thomas,2003,0,0,0,0,0,0,0
David H. Souter,2004,20,0,150,249,1855,0.087579439,0.036812506
Antonin Scalia,2004,50,2,286,421,3344,0.079124436,0.038211194
John Paul Stevens,2004,33,4,144,248,1889,0.103732851,0.034708359
Anthony M. Kennedy,2004,18,1,153,252,1957,0.078248258,0.028730169
Ruth Bader Ginsburg,2004,19,1,120,200,1554,0.103524642,0.046652912
Stephen G. Breyer,2004,32,3,262,424,3353,0.10720155,0.078561005
William H. Rehnquist,2004,8,0,105,187,1389,0.018144834,0.011622017
Sandra Day O'Connor,2004,24,1,182,317,2319,0.061050208,0.020240169
Clarence Thomas,2004,0,0,0,0,0,0,0
