,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
0,David H. Souter,1998,12,0,104,170,1422,0.079913035,0.035484314,0.00836820083682,0.0
1,Antonin Scalia,1998,36,2,230,386,3137,0.11940307,0.028702068,0.0113385826772,0.000629921259843
2,John Paul Stevens,1998,22,4,92,128,1120,0.279815854,0.086153426,0.0191972076789,0.00349040139616
3,Anthony M. Kennedy,1998,16,2,91,137,1172,0.105508474,0.054102289,0.0134453781513,0.00168067226891
4,Ruth Bader Ginsburg,1998,8,9,137,203,1821,0.084729061,0.043399206,0.00435255712731,0.00489662676823
5,Stephen G. Breyer,1998,15,5,246,412,3304,0.072343945,0.035446224,0.00451263537906,0.00150421179302
6,William H. Rehnquist,1998,31,0,120,186,1512,0.076177371,0.030951385,0.0200907323396,0.0
7,Sandra Day O'Connor,1998,8,5,178,287,2294,0.078797994,0.04099655,0.00346770697876,0.00216731686173
8,Clarence Thomas,1998,0,0,0,0,0,0.0,0.0,0.0,0.0
9,David H. Souter,1999,39,11,565,840,6964,0.026901706,0.011486143,0.00556030795552,0.00156829198745
10,Antonin Scalia,1999,26,13,621,950,7394,0.025212619,0.010686912,0.0034979147047,0.00174895735235
11,John Paul Stevens,1999,22,3,300,488,4008,0.025622942,0.010453078,0.00545499628068,0.000743863129184
12,Anthony M. Kennedy,1999,63,5,446,721,5862,0.021020796,0.010139987,0.0106239460371,0.000843170320405
13,Ruth Bader Ginsburg,1999,33,4,314,439,3618,0.021435218,0.012056623,0.00902872777018,0.00109439124487
14,Stephen G. Breyer,1999,65,5,572,938,7258,0.025161829,0.016403497,0.00887008733624,0.00068231441048
15,William H. Rehnquist,1999,32,1,304,470,4141,0.02372121,0.019457691,0.00766650694777,0.000239578342118
16,Sandra Day O'Connor,1999,35,4,390,555,4549,0.022302062,0.011730925,0.00762859633827,0.000871839581517
17,Clarence Thomas,1999,0,0,0,0,0,0.0,0.0,0.0,0.0
18,David H. Souter,2003,31,4,93,155,1238,0.073155012,0.045922268,0.0243519245876,0.00314218381775
19,Antonin Scalia,2003,56,7,250,440,3364,0.070869338,0.027361729,0.0163408228772,0.00204260285964
20,John Paul Stevens,2003,14,1,76,123,973,0.100615342,0.048023007,0.0141700404858,0.00101214574899
21,Anthony M. Kennedy,2003,50,6,167,281,2128,0.107765913,0.041047718,0.0228937728938,0.00274725274725
22,Ruth Bader Ginsburg,2003,27,1,128,241,1832,0.073090237,0.037349309,0.0145161290323,0.000537634408602
23,Stephen G. Breyer,2003,69,2,261,410,3368,0.086231618,0.035574881,0.0200639720849,0.000581564408258
24,William H. Rehnquist,2003,21,0,52,103,766,0.104647685,0.049491853,0.0266836086404,0.0
25,Sandra Day O'Connor,2003,17,4,114,197,1615,0.078969363,0.034160849,0.010391198044,0.00244498777506
26,Clarence Thomas,2003,0,0,0,0,0,0.0,0.0,0.0,0.0
27,David H. Souter,2004,20,0,150,249,1855,0.087579439,0.036812506,0.0106666666667,0.0
28,Antonin Scalia,2004,50,2,286,421,3344,0.079124436,0.038211194,0.0147232037691,0.000588928150766
29,John Paul Stevens,2004,33,4,144,248,1889,0.103732851,0.034708359,0.0171339563863,0.00207684319834
30,Anthony M. Kennedy,2004,18,1,153,252,1957,0.078248258,0.028730169,0.00910931174089,0.000506072874494
