speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
Lawrence C. Brown,1998,0,0,0,0,0,0,0
James R. Young,1998,0,0,0,0,0,0,0
Lawrence G. Wallace,1998,0,0,0,0,0,0,0
Beth S. Brinkmann,1998,0,0,0,0,0,0,0
Susan L. Seitz,1998,0,0,0,0,0,0,0
Douglas R. Oelschlaeger,1998,0,0,0,0,0,0,0
Stephen G. Morrison,1998,0,0,0,0,0,0,0
Matthew D. Roberts,1998,0,0,0,0,0,0,0
"John E. Wall, Jr.",1998,0,0,0,0,0,0,0
Leo Geffner,1998,0,0,0,0,0,0,0
"Raymond J. LaJeunesse, Jr.",1998,0,0,0,0,0,0,0
Lawrence Rosenthal,1998,0,0,0,0,0,0,0
Harvey Grossman,1998,0,0,0,0,0,0,0
C. Randall Bain,1998,0,0,0,0,0,0,0
Jeffrey P. Minear,1998,0,0,0,0,0,0,0
Jerry R. Selinger,1998,0,0,0,0,0,0,0
John P. McDonald,1998,0,0,0,0,0,0,0
Paul R. Q. Wolfson,1998,0,0,0,0,0,0,0
Bradford Colbert,1998,0,0,0,0,0,0,0
James C. Backstrom,1998,0,0,0,0,0,0,0
Jeffrey A. Lamken,1998,0,0,0,0,0,0,0
David M. Smith,1998,0,0,0,0,0,0,0
Gregory O'Duden,1998,0,0,0,0,0,0,0
Irving L. Gornstein,1998,0,0,0,0,0,0,0
Patrick S. Smith,1998,0,0,0,0,0,0,0
Jeffrey S. Sutton,1998,0,0,0,0,0,0,0
David D. Lawrence,1998,0,0,0,0,0,0,0
Michael M. Berger,1998,0,0,0,0,0,0,0
Edwin S. Kneedler,1998,0,0,0,0,0,0,0
George A. Yuhas,1998,0,0,0,0,0,0,0
David D. Cole,1998,0,0,0,0,0,0,0
Malcolm L. Stewart,1998,0,0,0,0,0,0,0
Paul T. Cappuccio,1998,0,0,0,0,0,0,0
Lisa S. Blatt,1998,0,0,0,0,0,0,0
Seth Kupferberg,1998,0,0,0,0,0,0,0
John L. Kirwin,1998,0,0,0,0,0,0,0
Barbara B. McDowell,1998,0,0,0,0,0,0,0
Randy V. Thompson,1998,0,0,0,0,0,0,0
Marc D. Slonim,1998,0,0,0,0,0,0,0
Mark D. Slonim,1998,0,0,0,0,0,0,0
Daniel G. Stone,1998,0,0,0,0,0,0,0
Loralyn McKinley,1998,0,0,0,0,0,0,0
Paul R. Q. Wolfson,1998,0,0,0,0,0,0,0
Joaquin G. Avila,1998,0,0,0,0,0,0,0
"Roy T. Englert, Jr.",1998,0,0,0,0,0,0,0
"Richard M. Bendix, Jr.",1998,0,0,0,0,0,0,0
Patricia A. Millett,1998,0,0,0,0,0,0,0
Phillip A. Bradley,1998,0,0,0,0,0,0,0
Matthew D. Roberts,1998,0,0,0,0,0,0,0
Charles C. Stebbins,1998,0,0,0,0,0,0,0
Lisa S. Blatt,1998,0,0,0,0,0,0,0
Diana L. Gustin,1998,0,0,0,0,0,0,0
Beth S. Brinkmann,1998,0,0,0,0,0,0,0
Patrick Irvine,1998,0,0,0,0,0,0,0
Bruce C. Smith,1998,0,0,0,0,0,0,0
Peter M. Sfikas,1998,0,0,0,0,0,0,0
Lawrence G. Wallace,1998,0,0,0,0,0,0,0
Thomas F. Spaulding,1998,0,0,0,0,0,0,0
Jeffrey A. Lamken,1998,0,0,0,0,0,0,0
Elihu Inselbuch,1998,0,0,0,0,0,0,0
Laurence H. Tribe,1998,0,0,0,0,0,0,0
Joseph H. Babington,1998,0,0,0,0,0,0,0
Jeffrey P. Minear,1998,0,0,0,0,0,0,0
Sidney W. Jackson,1998,0,0,0,0,0,0,0
Michael K. Kellogg,1998,0,0,0,0,0,0,0
John G. Kester,1998,0,0,0,0,0,0,0
David C. Frederick,1998,0,0,0,0,0,0,0
Patricia A. Millett,1998,0,0,0,0,0,0,0
Nadine K. Wettstein,1998,0,0,0,0,0,0,0
Kevin C. Brazile,1998,0,0,0,0,0,0,0
Michael J. Lightfoot,1998,0,0,0,0,0,0,0
Jeffrey I. Erlich,1998,0,0,0,0,0,0,0
Jeffrey L. Ehrlich,1998,0,0,0,0,0,0,0
Edwin S. Kneedler,1998,0,0,0,0,0,0,0
"William J. Kayatta, Jr.",1998,0,0,0,0,0,0,0
J. David Pugh,1998,0,0,0,0,0,0,0
Deborah A. Smith,1998,0,0,0,0,0,0,0
Richard A. Cordray,1998,0,0,0,0,0,0,0
Henry H. Rossbacher,1998,0,0,0,0,0,0,0
Lawrence R. Fletcher-Hill,1998,0,0,0,0,0,0,0
Richard K. Willard,1998,0,0,0,0,0,0,0
"Roy T. Englert, Jr.",1998,0,0,0,0,0,0,0
Edwin S. Kneedler,1998,0,0,0,0,0,0,0
Van Aaron Hughes,1998,0,0,0,0,0,0,0
Roy W. McLeese,1998,0,0,0,0,0,0,0
Javier H. Rubinstein,1998,0,0,0,0,0,0,0
Javier H. Rubinstein,1998,0,0,0,0,0,0,0
William J. Kilberg,1998,0,0,0,0,0,0,0
Stephen R. McAllister,1998,0,0,0,0,0,0,0
James A. Feldman,1998,0,0,0,0,0,0,0
Michael W. McConnell,1998,0,0,0,0,0,0,0
Malcolm L. Stewart,1998,0,0,0,0,0,0,0
Carter G. Phillips,1998,0,0,0,0,0,0,0
Kent L. Jones,1998,0,0,0,0,0,0,0
Mark L. Evans,1998,0,0,0,0,0,0,0
Charles J. Cooper,1998,0,0,0,0,0,0,0
William L. Browers,1998,0,0,0,0,0,0,0
David B. Mote,1998,0,0,0,0,0,0,0
"James W. Colbert, III",1998,0,0,0,0,0,0,0
G. Robert Blakey,1998,0,0,0,0,0,0,0
Lawrence G. Wallace,1998,0,0,0,0,0,0,0
Jonathan E. Nuechtherlein,1998,0,0,0,0,0,0,0
Jonathan Nuechterlein,1998,0,0,0,0,0,0,0
Robert H. Silk,1998,0,0,0,0,0,0,0
Diane W. Wilson,1998,0,0,0,0,0,0,0
"Joseph H. Mattingly, III",1998,0,0,0,0,0,0,0
Carter G. Phillips,1998,0,0,0,0,0,0,0
James A. Feldman,1998,0,0,0,0,0,0,0
Edward C. DuMont,1998,0,0,0,0,0,0,0
Quin Denvir,1998,0,0,0,0,0,0,0
Kevin J. Keating,1998,0,0,0,0,0,0,0
Barbara D. Underwood,1998,0,0,0,0,0,0,0
Donald J. McCauley,1998,0,0,0,0,0,0,0
David C. Frederick,1998,0,0,0,0,0,0,0
Steven A. Morley,1998,0,0,0,0,0,0,0
Michael R. Dreeben,1998,0,0,0,0,0,0,0
Bridget A. Chambers,1998,0,0,0,0,0,0,0
Paul Rosenberg,1998,0,0,0,0,0,0,0
"Bruce J. Ennis, Jr.",1998,0,0,0,0,0,0,0
David W. Carpenter,1998,0,0,0,0,0,0,0
William P. Barr,1998,0,0,0,0,0,0,0
Diane Munns,1998,0,0,0,0,0,0,0
Laurence H. Tribe,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Barbara D. Underwood,1998,0,0,0,0,0,0,0
"W. Warren Plowden, Jr.",1998,0,0,0,0,0,0,0
Verna L. Williams,1998,0,0,0,0,0,0,0
"William A. Barnett, Jr.",1998,0,0,0,0,0,0,0
Irving L. Gornstein,1998,0,0,0,0,0,0,0
Charles A. Edwards,1998,0,0,0,0,0,0,0
Ray P. McClain,1998,0,0,0,0,0,0,0
Barbara D. Underwood,1998,0,0,0,0,0,0,0
Roy W. McLeese,1998,0,0,0,0,0,0,0
Daniel I. Siegel,1998,0,0,0,0,0,0,0
Gale Norton,1998,0,0,0,0,0,0,0
