,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
0,Lawrence C. Brown,1998,0,0,0,0,0,0,0,0.0,0.0
1,James R. Young,1998,0,0,0,0,0,0,0,0.0,0.0
2,Lawrence G. Wallace,1998,0,0,0,0,0,0,0,0.0,0.0
3,Beth S. Brinkmann,1998,0,0,0,0,0,0,0,0.0,0.0
4,Susan L. Seitz,1998,0,0,0,0,0,0,0,0.0,0.0
5,Douglas R. Oelschlaeger,1998,0,0,0,0,0,0,0,0.0,0.0
6,Stephen G. Morrison,1998,0,0,0,0,0,0,0,0.0,0.0
7,Matthew D. Roberts,1998,0,0,0,0,0,0,0,0.0,0.0
8,"John E. Wall, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
9,Leo Geffner,1998,0,0,0,0,0,0,0,0.0,0.0
10,"Raymond J. LaJeunesse, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
11,Lawrence Rosenthal,1998,0,0,0,0,0,0,0,0.0,0.0
12,Harvey Grossman,1998,0,0,0,0,0,0,0,0.0,0.0
13,C. Randall Bain,1998,0,0,0,0,0,0,0,0.0,0.0
14,Jeffrey P. Minear,1998,0,0,0,0,0,0,0,0.0,0.0
15,Jerry R. Selinger,1998,0,0,0,0,0,0,0,0.0,0.0
16,John P. McDonald,1998,0,0,0,0,0,0,0,0.0,0.0
17,Paul R. Q. Wolfson,1998,0,0,0,0,0,0,0,0.0,0.0
18,Bradford Colbert,1998,0,0,0,0,0,0,0,0.0,0.0
19,James C. Backstrom,1998,0,0,0,0,0,0,0,0.0,0.0
20,Jeffrey A. Lamken,1998,0,0,0,0,0,0,0,0.0,0.0
21,David M. Smith,1998,0,0,0,0,0,0,0,0.0,0.0
22,Gregory O'Duden,1998,0,0,0,0,0,0,0,0.0,0.0
23,Irving L. Gornstein,1998,0,0,0,0,0,0,0,0.0,0.0
24,Patrick S. Smith,1998,0,0,0,0,0,0,0,0.0,0.0
25,Jeffrey S. Sutton,1998,0,0,0,0,0,0,0,0.0,0.0
26,David D. Lawrence,1998,0,0,0,0,0,0,0,0.0,0.0
27,Michael M. Berger,1998,0,0,0,0,0,0,0,0.0,0.0
28,Edwin S. Kneedler,1998,0,0,0,0,0,0,0,0.0,0.0
29,George A. Yuhas,1998,0,0,0,0,0,0,0,0.0,0.0
30,David D. Cole,1998,0,0,0,0,0,0,0,0.0,0.0
31,Malcolm L. Stewart,1998,0,0,0,0,0,0,0,0.0,0.0
32,Paul T. Cappuccio,1998,0,0,0,0,0,0,0,0.0,0.0
33,Lisa S. Blatt,1998,0,0,0,0,0,0,0,0.0,0.0
34,Seth Kupferberg,1998,0,0,0,0,0,0,0,0.0,0.0
35,John L. Kirwin,1998,0,0,0,0,0,0,0,0.0,0.0
36,Barbara B. McDowell,1998,0,0,0,0,0,0,0,0.0,0.0
37,Randy V. Thompson,1998,0,0,0,0,0,0,0,0.0,0.0
38,Marc D. Slonim,1998,0,0,0,0,0,0,0,0.0,0.0
39,Mark D. Slonim,1998,0,0,0,0,0,0,0,0.0,0.0
40,Daniel G. Stone,1998,0,0,0,0,0,0,0,0.0,0.0
