speakerA,speakerA_id,petitioner_won,respondent_won,num_votes_for,num_votes_against,docket_id,axbya_id,speakerX,speakerX_id,speakerX_for_petitioner,speakerB,speakerB_id,speakerB_vote,speakerY,speakerY_id,speakerY_for_petitioner,AdvocateXwon,AdvocateYwon,majority,minority
David H. Souter,3,True,False,9.0,0.0,1999_98_1949,0,,,,Antonin Scalia,4,majority,,,,,,9.0,0.0
John Paul Stevens,7,True,False,9.0,0.0,1999_98_1949,1,Carter G. Phillips,6.0,True,John Paul Stevens,7,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
Antonin Scalia,4,True,False,9.0,0.0,1999_98_1949,2,Carter G. Phillips,6.0,True,Sandra Day O'Connor,2,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
Anthony M. Kennedy,8,True,False,9.0,0.0,1999_98_1949,3,Carter G. Phillips,6.0,True,Anthony M. Kennedy,8,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
Anthony M. Kennedy,8,True,False,9.0,0.0,1999_98_1949,4,Carter G. Phillips,6.0,True,Anthony M. Kennedy,8,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,5,Carter G. Phillips,6.0,True,Stephen G. Breyer,11,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
David H. Souter,3,True,False,9.0,0.0,1999_98_1949,6,Carter G. Phillips,6.0,True,David H. Souter,3,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
David H. Souter,3,True,False,9.0,0.0,1999_98_1949,7,Carter G. Phillips,6.0,True,David H. Souter,3,majority,Carter G. Phillips,6.0,True,True,True,9.0,0.0
John Paul Stevens,7,True,False,9.0,0.0,1999_98_1949,8,James A. Feldman,1.0,True,John Paul Stevens,7,majority,James A. Feldman,1.0,True,True,True,9.0,0.0
William H. Rehnquist,12,True,False,9.0,0.0,1999_98_1949,9,James A. Feldman,1.0,True,John Paul Stevens,7,majority,James A. Feldman,1.0,True,True,True,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,10,James A. Feldman,1.0,True,Stephen G. Breyer,11,majority,James A. Feldman,1.0,True,True,True,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,11,James A. Feldman,1.0,True,Stephen G. Breyer,11,majority,James A. Feldman,1.0,True,True,True,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,12,James A. Feldman,1.0,True,Stephen G. Breyer,11,majority,James A. Feldman,1.0,True,True,True,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,13,James A. Feldman,1.0,True,Stephen G. Breyer,11,majority,James A. Feldman,1.0,True,True,True,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,14,James A. Feldman,1.0,True,William H. Rehnquist,12,majority,James P. Ginzkey,5.0,False,True,False,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,15,James P. Ginzkey,5.0,False,Stephen G. Breyer,11,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
Stephen G. Breyer,11,True,False,9.0,0.0,1999_98_1949,16,James P. Ginzkey,5.0,False,Stephen G. Breyer,11,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
Antonin Scalia,4,True,False,9.0,0.0,1999_98_1949,17,James P. Ginzkey,5.0,False,Antonin Scalia,4,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
William H. Rehnquist,12,True,False,9.0,0.0,1999_98_1949,18,James P. Ginzkey,5.0,False,William H. Rehnquist,12,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
David H. Souter,3,True,False,9.0,0.0,1999_98_1949,19,James P. Ginzkey,5.0,False,David H. Souter,3,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
David H. Souter,3,True,False,9.0,0.0,1999_98_1949,20,James P. Ginzkey,5.0,False,David H. Souter,3,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
John Paul Stevens,7,True,False,9.0,0.0,1999_98_1949,21,James P. Ginzkey,5.0,False,William H. Rehnquist,12,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
Antonin Scalia,4,True,False,9.0,0.0,1999_98_1949,22,James P. Ginzkey,5.0,False,Antonin Scalia,4,majority,James P. Ginzkey,5.0,False,False,False,9.0,0.0
