Year,TextGrid,TierNumber,TierName,useable,
1998,1998_96_1570.TextGrid,1,david h souter,1,
1998,1998_96_1570.TextGrid,2,antonin scalia,1,
1998,1998_96_1570.TextGrid,3,lawrence c brown,1,
1998,1998_96_1570.TextGrid,4,james r young,1,
1998,1998_96_1570.TextGrid,5,john paul stevens,1,
1998,1998_96_1570.TextGrid,6,anthony kennedy,1,
1998,1998_96_1570.TextGrid,7,lawrence g wallace,1,
1998,1998_96_1570.TextGrid,8,ruth bader ginsburg,1,
1998,1998_96_1570.TextGrid,9,stephen g breyer,1,
1998,1998_96_1570.TextGrid,10,william h rehnquist,1,
1998,1998_96_1793.TextGrid,1,beth s brinkmann,1,
1998,1998_96_1793.TextGrid,2,sandra day oconnor,1,
1998,1998_96_1793.TextGrid,3,david h souter,1,
1998,1998_96_1793.TextGrid,4,antonin scalia,1,
1998,1998_96_1793.TextGrid,5,susan l seitz,1,
1998,1998_96_1793.TextGrid,6,anthony kennedy,1,
1998,1998_96_1793.TextGrid,7,douglas r oelschlaeger,1,
1998,1998_96_1793.TextGrid,8,ruth bader ginsburg,1,
1998,1998_96_1793.TextGrid,9,stephen g breyer,1,
1998,1998_96_1793.TextGrid,10,william h rehnquist,1,
1998,1998_97_1121.TextGrid,1,sandra day oconnor,1,
1998,1998_97_1121.TextGrid,2,david h souter,1,
1998,1998_97_1121.TextGrid,3,antonin scalia,1,
1998,1998_97_1121.TextGrid,4,john paul stevens,1,
1998,1998_97_1121.TextGrid,5,harvey grossman,1,
1998,1998_97_1121.TextGrid,6,anthony kennedy,1,
1998,1998_97_1121.TextGrid,7,ruth bader ginsburg,1,
1998,1998_97_1121.TextGrid,8,unidentified justice,1,
1998,1998_97_1121.TextGrid,9,stephen g breyer,1,
1998,1998_97_1121.TextGrid,10,william h rehnquist,1,
1998,1998_97_1121.TextGrid,11,lawrence rosenthal,1,
1998,1998_97_1139.TextGrid,1,sandra day oconnor,1,
1998,1998_97_1139.TextGrid,2,david h souter,1,
1998,1998_97_1139.TextGrid,3,antonin scalia,1,
1998,1998_97_1139.TextGrid,4,john paul stevens,1,
1998,1998_97_1139.TextGrid,5,anthony kennedy,1,
1998,1998_97_1139.TextGrid,6,john p mcdonald,1,
1998,1998_97_1139.TextGrid,7,paul r q wolfson,1,
1998,1998_97_1139.TextGrid,8,unidentified justice,1,
1998,1998_97_1139.TextGrid,9,ruth bader ginsburg,1,
1998,1998_97_1139.TextGrid,10,stephen g breyer,1,
1998,1998_97_1139.TextGrid,11,william h rehnquist,1,
1998,1998_97_1147.TextGrid,1,sandra day oconnor,1,
1998,1998_97_1147.TextGrid,2,david h souter,1,
1998,1998_97_1147.TextGrid,3,james c backstrom,1,
1998,1998_97_1147.TextGrid,4,antonin scalia,1,
1998,1998_97_1147.TextGrid,5,jeffrey a lamken,1,
1998,1998_97_1147.TextGrid,6,john paul stevens,1,
1998,1998_97_1147.TextGrid,7,anthony kennedy,1,
1998,1998_97_1147.TextGrid,8,bradford colbert,1,
1998,1998_97_1147.TextGrid,9,ruth bader ginsburg,1,
1998,1998_97_1147.TextGrid,10,unidentified justice,1,
1998,1998_97_1147.TextGrid,11,stephen g breyer,1,
1998,1998_97_1147.TextGrid,12,william h rehnquist,1,
1998,1998_97_1184.TextGrid,1,irving l gornstein,1,
1998,1998_97_1184.TextGrid,2,sandra day oconnor,1,
1998,1998_97_1184.TextGrid,3,gregory oduden,1,
1998,1998_97_1184.TextGrid,4,david h souter,1,
1998,1998_97_1184.TextGrid,5,antonin scalia,1,
1998,1998_97_1184.TextGrid,6,david m smith,1,
