Year,TextGrid,TierNumber,TierName,useable,
2006,2006_04_1350.TextGrid,1,david h souter,1,
2006,2006_04_1350.TextGrid,2,antonin scalia,1,
2006,2006_04_1350.TextGrid,3,james w dabney,1,
2006,2006_04_1350.TextGrid,4,john g roberts jr,1,
2006,2006_04_1350.TextGrid,5,john paul stevens,1,
2006,2006_04_1350.TextGrid,6,thomas g hungar,1,
2006,2006_04_1350.TextGrid,7,anthony kennedy,1,
2006,2006_04_1350.TextGrid,8,thomas c goldstein,1,
2006,2006_04_1350.TextGrid,9,samuel a alito jr,1,
2006,2006_04_1350.TextGrid,10,ruth bader ginsburg,1,
2006,2006_04_1350.TextGrid,11,stephen g breyer,1,
2006,2006_05_1056.TextGrid,1,david h souter,1,
2006,2006_05_1056.TextGrid,2,antonin scalia,1,
2006,2006_05_1056.TextGrid,3,theodore b olson,1,
2006,2006_05_1056.TextGrid,4,john paul stevens,1,
2006,2006_05_1056.TextGrid,5,anthony kennedy,1,
2006,2006_05_1056.TextGrid,6,daryl joseffer,1,
2006,2006_05_1056.TextGrid,7,seth p waxman,1,
2006,2006_05_1056.TextGrid,8,samuel a alito jr,1,
2006,2006_05_1056.TextGrid,9,ruth bader ginsburg,1,
2006,2006_05_1056.TextGrid,10,stephen g breyer,1,
2006,2006_05_1074.TextGrid,1,irving l gornstein,1,
2006,2006_05_1074.TextGrid,2,kevin k russell,1,
2006,2006_05_1074.TextGrid,3,david h souter,1,
2006,2006_05_1074.TextGrid,4,antonin scalia,1,
2006,2006_05_1074.TextGrid,5,john g roberts jr,1,
2006,2006_05_1074.TextGrid,6,john paul stevens,1,
2006,2006_05_1074.TextGrid,7,anthony kennedy,1,
2006,2006_05_1074.TextGrid,8,samuel a alito jr,1,
2006,2006_05_1074.TextGrid,9,ruth bader ginsburg,1,
2006,2006_05_1074.TextGrid,10,stephen g breyer,1,
2006,2006_05_1074.TextGrid,11,glen d nager,1,
2006,2006_05_1126.TextGrid,1,thomas o barnett,1,
2006,2006_05_1126.TextGrid,2,david h souter,1,
2006,2006_05_1126.TextGrid,3,j douglas richards,1,
2006,2006_05_1126.TextGrid,4,antonin scalia,1,
2006,2006_05_1126.TextGrid,5,michael k kellogg,1,
2006,2006_05_1126.TextGrid,6,john g roberts jr,1,
2006,2006_05_1126.TextGrid,7,john paul stevens,1,
2006,2006_05_1126.TextGrid,8,anthony kennedy,1,
2006,2006_05_1126.TextGrid,9,samuel a alito jr,1,
2006,2006_05_1126.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_1126.TextGrid,11,stephen g breyer,1,
2006,2006_05_11284.TextGrid,1,antonin scalia,1,
2006,2006_05_11284.TextGrid,2,john g roberts jr,1,
2006,2006_05_11284.TextGrid,3,robert c owen,1,
2006,2006_05_11284.TextGrid,4,john paul stevens,1,
2006,2006_05_11284.TextGrid,5,anthony kennedy,1,
2006,2006_05_11284.TextGrid,6,edward l marshall,1,
2006,2006_05_11284.TextGrid,7,samuel a alito jr,1,
2006,2006_05_11284.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_11284.TextGrid,9,stephen g breyer,1,
2006,2006_05_11304.TextGrid,1,jordan steiker,1,
2006,2006_05_11304.TextGrid,2,gene c schaerr,1,
2006,2006_05_11304.TextGrid,3,david h souter,1,
2006,2006_05_11304.TextGrid,4,antonin scalia,1,
2006,2006_05_11304.TextGrid,5,john g roberts jr,1,
2006,2006_05_11304.TextGrid,6,r ted cruz,1,
2006,2006_05_11304.TextGrid,7,john paul stevens,1,
2006,2006_05_11304.TextGrid,8,anthony kennedy,1,
2006,2006_05_11304.TextGrid,9,samuel a alito jr,1,
2006,2006_05_11304.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_11304.TextGrid,11,stephen g breyer,1,
2006,2006_05_1157.TextGrid,1,christopher lovell,1,
2006,2006_05_1157.TextGrid,2,stephen m shapiro,1,
2006,2006_05_1157.TextGrid,3,paul d clement,1,
2006,2006_05_1157.TextGrid,4,david h souter,1,
2006,2006_05_1157.TextGrid,5,antonin scalia,1,
2006,2006_05_1157.TextGrid,6,john g roberts jr,1,
2006,2006_05_1157.TextGrid,7,john paul stevens,1,
2006,2006_05_1157.TextGrid,8,samuel a alito jr,1,
2006,2006_05_1157.TextGrid,9,ruth bader ginsburg,1,
2006,2006_05_1157.TextGrid,10,stephen g breyer,1,
2006,2006_05_1240.TextGrid,1,david h souter,1,
2006,2006_05_1240.TextGrid,2,antonin scalia,1,
2006,2006_05_1240.TextGrid,3,john g roberts jr,1,
2006,2006_05_1240.TextGrid,4,benna ruth solomon,1,
2006,2006_05_1240.TextGrid,5,john paul stevens,1,
2006,2006_05_1240.TextGrid,6,anthony kennedy,1,
2006,2006_05_1240.TextGrid,7,samuel a alito jr,1,
2006,2006_05_1240.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_1240.TextGrid,9,kenneth n flaxman,1,
2006,2006_05_1240.TextGrid,10,stephen g breyer,1,
2006,2006_05_1256.TextGrid,1,david h souter,1,
2006,2006_05_1256.TextGrid,2,antonin scalia,1,
2006,2006_05_1256.TextGrid,3,john g roberts jr,1,
2006,2006_05_1256.TextGrid,4,robert s peck,1,
2006,2006_05_1256.TextGrid,5,john paul stevens,1,
2006,2006_05_1256.TextGrid,6,anthony kennedy,1,
2006,2006_05_1256.TextGrid,7,samuel a alito jr,1,
2006,2006_05_1256.TextGrid,8,andrew l frey,1,
